"fare_id","route_id","origin_id","destination_id","contains_id"
"4012_2041_1_500_20260407","4012_2041_1_20260407","100735_1","100693_1",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100735_1","100693_1",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100735_1","100693_1",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100735_1","100693_1",
"4012_1712_2_200_20260407","4012_1712_2_20260407","100735_1","100699_1",
"4012_1751_1_200_20260407","4012_1751_1_20260407","100735_1","100699_1",
"4012_1822_2_200_20260407","4012_1822_2_20260407","100735_1","100699_1",
"4012_1861_1_200_20260407","4012_1861_1_20260407","100735_1","100699_1",
"4012_1981_1_200_20260407","4012_1981_1_20260407","100735_1","100699_1",
"4012_2001_1_200_20260407","4012_2001_1_20260407","100735_1","100699_1",
"4012_2021_1_200_20260407","4012_2021_1_20260407","100735_1","100699_1",
"4012_2041_1_200_20260407","4012_2041_1_20260407","100735_1","100699_1",
"4012_7001_1_200_20260407","4012_7001_1_20260407","100735_1","100699_1",
"4012_1712_2_200_20260407","4012_1712_2_20260407","100735_1","100709_1",
"4012_1751_1_200_20260407","4012_1751_1_20260407","100735_1","100709_1",
"4012_1761_1_200_20260407","4012_1761_1_20260407","100735_1","100709_1",
"4012_1822_2_200_20260407","4012_1822_2_20260407","100735_1","100709_1",
"4012_1861_1_200_20260407","4012_1861_1_20260407","100735_1","100709_1",
"4012_1981_1_200_20260407","4012_1981_1_20260407","100735_1","100709_1",
"4012_2001_1_200_20260407","4012_2001_1_20260407","100735_1","100709_1",
"4012_2021_1_200_20260407","4012_2021_1_20260407","100735_1","100709_1",
"4012_2041_1_200_20260407","4012_2041_1_20260407","100735_1","100709_1",
"4012_2051_1_200_20260407","4012_2051_1_20260407","100735_1","100709_1",
"4012_7001_1_200_20260407","4012_7001_1_20260407","100735_1","100709_1",
"4012_7011_1_200_20260407","4012_7011_1_20260407","100735_1","100709_1",
"4012_1712_2_230_20260407","4012_1712_2_20260407","100735_1","100715_1",
"4012_1751_1_230_20260407","4012_1751_1_20260407","100735_1","100715_1",
"4012_1761_1_230_20260407","4012_1761_1_20260407","100735_1","100715_1",
"4012_1822_2_230_20260407","4012_1822_2_20260407","100735_1","100715_1",
"4012_1861_1_230_20260407","4012_1861_1_20260407","100735_1","100715_1",
"4012_1981_1_230_20260407","4012_1981_1_20260407","100735_1","100715_1",
"4012_2001_1_230_20260407","4012_2001_1_20260407","100735_1","100715_1",
"4012_2021_1_230_20260407","4012_2021_1_20260407","100735_1","100715_1",
"4012_2041_1_230_20260407","4012_2041_1_20260407","100735_1","100715_1",
"4012_2051_1_230_20260407","4012_2051_1_20260407","100735_1","100715_1",
"4012_7001_1_230_20260407","4012_7001_1_20260407","100735_1","100715_1",
"4012_7011_1_230_20260407","4012_7011_1_20260407","100735_1","100715_1",
"4012_1712_2_200_20260407","4012_1712_2_20260407","100735_1","100718_1",
"4012_1751_1_200_20260407","4012_1751_1_20260407","100735_1","100718_1",
"4012_1761_1_200_20260407","4012_1761_1_20260407","100735_1","100718_1",
"4012_1822_2_200_20260407","4012_1822_2_20260407","100735_1","100718_1",
"4012_1861_1_200_20260407","4012_1861_1_20260407","100735_1","100718_1",
"4012_1981_1_200_20260407","4012_1981_1_20260407","100735_1","100718_1",
"4012_2001_1_200_20260407","4012_2001_1_20260407","100735_1","100718_1",
"4012_2021_1_200_20260407","4012_2021_1_20260407","100735_1","100718_1",
"4012_2041_1_200_20260407","4012_2041_1_20260407","100735_1","100718_1",
"4012_2051_1_200_20260407","4012_2051_1_20260407","100735_1","100718_1",
"4012_7001_1_200_20260407","4012_7001_1_20260407","100735_1","100718_1",
"4012_7011_1_200_20260407","4012_7011_1_20260407","100735_1","100718_1",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100735_1","100719_1",
