"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"4019_4212_2_20240401","20240401","上熊本営業所",,"桜町バスターミナル"
"4007_3641_1_20240507","20240507","熊本駅前",,"熊本駅前"
"4013_3411_1_20240401","20240401","長嶺団地",,"長嶺団地"
"4014_5002_2_20240501","20240501","長嶺小学校前",,"桜町バスターミナル"
"4031_7651_1_20240503","20240503","水道町",,"国立病院（構内）"
"4033_5211_1_20240501","20240501","熊本駅前",,"免許センター"
"4016_4801_1_20240401","20240401","熊本駅前",,"長嶺団地"
"4027_1202_2_20240507","20240507","蓮台寺",,"三山荘"
"4020_4102_2_20240507","20240507","長溝団地",,"変電所前"
"4005_1431_1_20240507","20240507","託麻南",,"桜町バスターミナル"
"4007_3671_1_20240401","20240401","熊本駅前",,"県立劇場前"
"4025_4402_2_20240401","20240401","桜町バスターミナル",,"本山営業所"
"4027_1332_2_20240401","20240401","熊本駅前",,"三山荘"
"4019_4201_1_20240503","20240503","桜町バスターミナル",,"上熊本営業所"
"4020_4161_1_20240507","20240507","桜町バスターミナル",,"変電所前"
"4027_1272_2_20240503","20240503","熊本駅前",,"小峯"
"4017_4042_2_20240401","20240401","画図橋",,"上熊本駅前"
"4013_3452_2_20240401","20240401","若葉小学校前",,"長嶺団地"
"4017_4041_1_20240501","20240501","上熊本駅前",,"画図橋"
"4012_1761_1_20240503","20240503","小峯営業所",,"小峯営業所"
"4007_3652_2_20240501","20240501","県立劇場前",,"熊本駅前"
"4031_7652_2_20240507","20240507","国立病院（構内）",,"水道町"
"4001_1051_1_20240501","20240501","熊本駅前",,"熊本駅前"
"4005_1541_1_20240501","20240501","桜町バスターミナル",,"託麻南"
"4008_3722_2_20240507","20240507","東本町",,"上熊本駅前"
"4012_1751_1_20240401","20240401","小峯営業所",,"小峯営業所"
"4004_2802_2_20240503","20240503","柿原公民館前",,"桜町バスターミナル"
"4008_3711_1_20240501","20240501","昭和町（市道）",,"上熊本駅前"
"4019_4202_2_20240507","20240507","上熊本営業所",,"桜町バスターミナル"
"4011_2601_1_20240507","20240507","小峯営業所",,"秋津小楠記念館前"
"4022_7201_1_20240507","20240507","南熊本駅前",,"野越団地"
"4009_5141_1_20240501","20240501","桜町バスターミナル",,"城西校北"
"4001_1001_1_20240501","20240501","熊本駅前",,"熊本駅前"
"4027_1301_1_20240507","20240507","小峯営業所",,"蓮台寺"
"4027_1211_1_20240501","20240501","小峯",,"蓮台寺"
"4008_3702_2_20240401","20240401","東本町",,"上熊本駅前"
"4026_3301_1_20240507","20240507","若葉小学校前",,"富尾団地"
"4027_1291_1_20240503","20240503","桜町バスターミナル",,"三山荘"
"4009_5131_1_20240503","20240503","桜町バスターミナル",,"県立劇場前"
"4011_2561_1_20240503","20240503","秋津小楠記念館前",,"桜町バスターミナル"
"4027_1212_2_20240507","20240507","蓮台寺",,"小峯"
"4009_5102_2_20240501","20240501","水前寺駅北口",,"城西校北"
"4003_1132_2_20240503","20240503","富尾団地",,"京町本丁"
"4012_1981_1_20240401","20240401","小峯営業所",,"桜町バスターミナル"
"4026_3302_2_20240503","20240503","富尾団地",,"若葉小学校前"
"4010_4631_1_20240507","20240507","桜町バスターミナル",,"画図橋"
"4010_4662_2_20240401","20240401","画図橋",,"本山営業所"
"4027_1271_1_20240507","20240507","小峯",,"熊本駅前"
"4003_1101_1_20240401","20240401","桜町バスターミナル",,"富尾団地"
"4020_4162_2_20240501","20240501","変電所前",,"桜町バスターミナル"
"4020_4171_1_20240501","20240501","南熊本駅前",,"長溝団地"
"4033_5213_1_20240501","20240501","免許センター",,"熊本駅前"
"4027_1331_1_20240401","20240401","三山荘",,"熊本駅前"
"4035_8001_1_20240507","20240507","熊本駅前",,"熊本駅前"
"4033_5202_2_20240507","20240507","トラックターミナル前",,"熊本駅前"
"4027_1231_1_20240507","20240507","三山荘",,"桜町バスターミナル"
"4013_3402_2_20240401","20240401","若葉小学校前",,"長嶺団地"
"4001_1011_1_20240501","20240501","熊本駅前",,"熊本駅前"
"4004_2812_2_20240501","20240501","柿原公民館前",,"本妙寺電停前"
"4027_1312_2_20240401","20240401","桜町バスターミナル",,"小峯営業所"
"4013_3401_1_20240503","20240503","長嶺団地",,"若葉小学校前"
"4022_7202_2_20240503","20240503","野越団地",,"南熊本駅前"
"4009_5151_1_20240503","20240503","城西校北",,"水道町"
"4009_5142_2_20240401","20240401","城西校北",,"桜町バスターミナル"
"4012_2021_1_20240507","20240507","長嶺団地",,"水道町"
"4003_1102_2_20240401","20240401","富尾団地",,"桜町バスターミナル"
"4027_1262_2_20240501","20240501","熊本駅前",,"小峯営業所"
"4012_1711_1_20240507","20240507","桜町バスターミナル",,"小峯営業所"
"4009_5112_2_20240507","20240507","県立劇場前",,"城西校北"
"4015_3501_1_20240503","20240503","小峯営業所",,"桜町バスターミナル"
"4027_1211_1_20240503","20240503","小峯",,"蓮台寺"
"4027_1232_2_20240503","20240503","桜町バスターミナル",,"三山荘"
"4031_7661_1_20240507","20240507","通町筋",,"国立病院（構内）"
"4010_4622_2_20240401","20240401","水前寺鳥居前",,"桜町バスターミナル"
"4012_7001_1_20240507","20240507","長嶺団地",,"小峯営業所"
"4013_3432_2_20240401","20240401","若葉小学校前",,"託麻まちづくりセンター前"
"4022_2311_1_20240507","20240507","桜町バスターミナル",,"野越団地"
"4002_2611_1_20240401","20240401","桜町バスターミナル",,"アクアドーム"
